state,year,sector,total_sales_mwh,total_revenue_dollar,avg_confidence_score,n_records,n_missing_price,n_missing_sales,n_missing_revenue,n_high_price,n_low_price,n_price_mismatch,weighted_price_per_kwh
MT,2024,commercial,4920537.0,583826100.0,96.5625,16,1,0,0,0,1,0,0.11865089115273394
MT,2024,industrial,1861324.0,164927500.0,95.35714285714286,14,1,0,0,1,1,0,0.08860762553966961
NAN,2024,commercial,0.0,0.0,10.0,1,1,1,1,0,0,0,
NAN,2024,industrial,0.0,0.0,10.0,1,1,1,1,0,0,0,
NC,2024,commercial,49397344.0,5221528100.0,99.29824561403508,57,1,0,0,0,0,0,0.10570463262154338
NC,2024,industrial,25622927.0,1990135400.0,98.77777777777777,45,1,0,0,0,1,0,0.07767010380976382
ND,2024,commercial,11309334.0,812797000.0,96.3157894736842,19,1,0,0,0,2,0,0.07186957251417281
ND,2024,industrial,13549609.0,981887800.0,96.5,20,1,0,0,0,2,0,0.07246613536966269
NE,2024,commercial,12848720.0,1079625500.0,97.4074074074074,27,1,0,0,0,2,0,0.08402591853507586
NE,2024,industrial,11914906.0,912995200.0,97.4074074074074,27,1,0,0,0,2,0,0.07662630322052058
NH,2024,commercial,896419.0,181222600.0,91.42857142857143,7,1,0,0,2,0,0,0.20216282787401874
NH,2024,industrial,153018.0,26510700.0,92.0,5,1,0,0,0,0,0,0.1732521664117947
NJ,2024,commercial,15437447.0,2364437600.0,95.41666666666667,12,1,0,0,0,1,0,0.15316247563473417
NJ,2024,industrial,1807710.0,180281000.0,93.33333333333333,6,1,0,0,0,0,0,0.09972893882315194
NM,2024,commercial,9586363.0,1010536000.0,96.875,24,1,0,0,2,1,0,0.10541390932098023
NM,2024,industrial,13353971.0,725180200.0,96.0,20,1,0,0,1,2,0,0.05430446119734721
NV,2024,commercial,10169115.0,1115595700.0,95.76923076923077,13,1,0,0,0,1,0,0.10970430563524948
NV,2024,industrial,9214209.0,882669200.0,95.0,10,1,0,0,1,0,0,0.09579435413283983
NY,2024,commercial,27701780.0,5793435700.0,95.75,20,1,0,0,3,1,0,0.20913586419356445
NY,2024,industrial,3650857.0,315559800.0,93.84615384615384,13,1,0,0,1,2,0,0.08643444539186279
OH,2024,commercial,8418698.0,1191174100.0,98.6842105263158,38,1,0,0,1,0,0,0.1414914871634545
OH,2024,industrial,7062459.0,715708400.0,98.51351351351352,37,1,0,0,0,1,0,0.10133983078698226
OK,2024,commercial,25412391.0,2267616400.0,98.85714285714286,35,1,0,0,0,0,0,0.08923270541524408
OK,2024,industrial,22343103.0,1305144700.0,98.28125,32,1,0,0,0,1,0,0.058413761955982565
OR,2024,commercial,23773759.0,2407350300.0,96.89655172413794,29,1,0,0,2,2,0,0.10126081870351256
OR,2024,industrial,12915920.0,1023779100.0,97.70833333333333,24,1,0,0,0,1,0,0.07926489944192903
PA,2024,commercial,9849427.0,1370173200.0,98.4,25,1,0,0,0,0,0,0.13911197067606065
PA,2024,industrial,2395827.0,233600200.0,97.89473684210526,19,1,0,0,0,0,0,0.09750294992084153
RI,2024,commercial,836124.0,193872200.0,96.66666666666667,6,0,0,0,2,0,0,0.2318701532308605
RI,2024,industrial,100384.0,24564900.0,95.0,2,0,0,0,1,0,0,0.24470931622569334
SC,2024,commercial,26306224.0,2797768400.0,98.66666666666667,30,1,0,0,0,0,0,0.10635385755097349
SC,2024,industrial,25110388.0,1718300200.0,98.51851851851852,27,1,0,0,0,0,0,0.06842985460837961
SD,2024,commercial,5111478.0,539258400.0,97.5,22,1,0,0,0,1,0,0.10549950523116797
SD,2024,industrial,3355659.0,277781600.0,97.25,20,1,0,0,0,1,0,0.08278004409864054
TN,2024,commercial,35996043.0,4338477400.0,100.0,88,0,0,0,0,0,0,0.12052650898322352
TN,2024,industrial,23082059.0,1433510700.0,99.70238095238095,84,0,0,0,1,1,0,0.06210497512375304
TX,2024,commercial,162490830.0,14024855600.0,98.81756756756756,148,1,0,0,0,9,0,0.08631167432648353
TX,2024,industrial,167611074.0,10515081500.0,97.8804347826087,92,1,0,0,2,9,0,0.0627350046095403
UT,2024,commercial,14126246.0,1326325500.0,97.38095238095238,21,1,0,0,0,1,0,0.09389086810466135
UT,2024,industrial,8680830.0,681891100.0,96.38888888888889,18,1,0,0,1,1,0,0.07855137123984689
VA,2024,commercial,74363350.0,6565396700.0,98.0952380952381,21,1,0,0,0,0,0,0.08828807066922079
VA,2024,industrial,12095927.0,1112736700.0,97.89473684210526,19,1,0,0,0,0,0,0.09199267654310414
VT,2024,commercial,1946731.0,367576000.0,91.42857142857143,7,1,0,0,2,0,0,0.18881704765578808
VT,2024,industrial,1276669.0,147815100.0,90.0,4,1,0,0,0,0,0,0.11578185105144717
WA,2024,commercial,32790797.0,3281567300.0,97.43589743589743,39,1,0,0,0,4,0,0.10007586274892923
WA,2024,industrial,16162457.0,1055450000.0,94.71428571428571,35,2,0,0,0,7,0,0.06530257126128781
WI,2024,commercial,23292647.0,2943062300.0,99.40298507462687,67,1,0,0,0,0,0,0.12635156064486788
WI,2024,industrial,22974007.0,1961385000.0,98.84615384615384,52,1,0,0,2,0,0,0.08537409255599165
WV,2024,commercial,7665085.0,890696700.0,93.33333333333333,6,1,0,0,0,0,0,0.1162018033720435
WV,2024,industrial,14650982.0,1144145700.0,92.0,5,1,0,0,0,0,0,0.07809344793407022
WY,2024,commercial,5274652.0,489048400.0,95.0,14,1,0,0,0,2,0,0.09271671382301619
WY,2024,industrial,8974198.0,714083200.0,94.5,10,1,0,0,0,1,0,0.07957069812812242
